d,close,sma200,rvol20,spy_fwd_5d,spy_fwd_10d,regime
2016-06-01,210.27,210.27,,0.00998715936652883,-0.01198459123983453,R4_down_vol
2016-06-02,210.91,210.59,,0.005547389881940257,-0.012043051538570881,R4_down_vol
2016-06-03,210.28,210.48666666666668,0.06769342109207091,-0.0009986684420772995,-0.01788092067719227,R3_down_calm
2016-06-06,211.35,210.70250000000001,0.06659514871172707,-0.013725100544121127,-0.016560208185474323,R1_up_calm
2016-06-07,211.68,210.898,0.05438731845601611,-0.01719576719576732,-0.015306122448979664,R1_up_calm
2016-06-08,212.37,211.14333333333335,0.04842380022825925,-0.02175448509676514,-0.020106418043979946,R1_up_calm
2016-06-09,212.08,211.27714285714288,0.048459903333988565,-0.017493398717465136,-0.005988306299509638,R1_up_calm
2016-06-10,210.07,211.12625,0.07921152433145746,-0.01689912886180789,-0.03303660684533727,R3_down_calm
2016-06-13,208.4492,210.8288,0.08486520888984866,-0.002874561283996324,-0.04245254959001998,R3_down_calm
2016-06-14,208.04,210.54992000000001,0.0795199275822105,0.001922707171697846,-0.023266198807921468,R3_down_calm
2016-06-15,207.75,210.29538181818182,0.07497953646865568,0.001684717208182862,-0.00524669073405537,R3_down_calm
2016-06-16,208.37,210.13493333333335,0.07389918689225725,0.011709939050727147,0.005303066660267808,R3_down_calm
2016-06-17,206.52,209.85686153846154,0.07962425354131289,-0.016414875072632285,0.016467170249854668,R3_down_calm
2016-06-20,207.85,209.7135142857143,0.08382903681275262,-0.03969208563868176,0.002694250661534836,R3_down_calm
2016-06-21,208.44,209.62861333333333,0.0820762297011382,-0.025140568029168975,0.005853003262329626,R3_down_calm
2016-06-22,208.1,209.533075,0.0791985007348627,-0.006919750120134571,0.006852474771744443,R3_down_calm
2016-06-23,210.81,209.6081882352941,0.09370310163659877,-0.006332716664294913,0.00872823869835404,R1_up_calm
2016-06-24,203.13,209.24828888888888,0.16977545280616485,0.03343080785703756,0.05055875547678834,R3_down_calm
2016-06-27,199.6,208.74048421052632,0.17461705521564674,0.044138276553106204,0.07690380761523041,R3_down_calm
2016-06-28,203.1997,208.463445,0.1857879689030134,0.031792861898910285,0.057678726887884,R3_down_calm
2016-06-29,206.66,208.37756666666667,0.19261336634348464,0.013868189296428968,0.04577567018290907,R3_down_calm
2016-06-30,209.475,208.42745000000002,0.1989300228743601,0.015156939968970162,0.03033774913474163,R1_up_calm
2016-07-01,209.9208,208.49237826086957,0.19885515591545505,0.01657386976421571,0.0309087998902442,R1_up_calm
2016-07-05,208.41,208.48894583333333,0.19941281495237503,0.031380451993666236,0.03733026246341353,R3_down_calm
2016-07-06,209.66,208.535788,0.2006903684958963,0.025088238099780558,0.0354144805876182,R2_up_vol
2016-07-07,209.526,208.57387307692306,0.20020491447283864,0.03147103462100165,0.032163072840601936,R2_up_vol
2016-07-08,212.65,208.72484074074072,0.20755260618956023,0.014954150011756484,0.021584763696214537,R2_up_vol
2016-07-11,213.4,208.89181071428567,0.20464722901112994,0.014101218369259483,0.01522961574507975,R2_up_vol
2016-07-12,214.95,209.1007137931034,0.20326849002112432,0.0057687834380089065,0.008374040474528943,R2_up_vol
2016-07-13,214.92,209.29468999999997,0.20295458628002547,0.010073515726782167,0.007444630560208498,R2_up_vol
2016-07-14,216.12,209.51486129032253,0.20308452631982016,0.0006709235609845265,0.0030075883768276857,R2_up_vol
2016-07-15,215.83,209.712209375,0.20338024478720462,0.006532919427327144,0.00597692628457569,R2_up_vol
2016-07-18,216.4092,209.9151484848485,0.1994332797727989,0.0011127068534979578,0.0024527607883584324,R1_up_calm
2016-07-19,216.19,210.09970294117645,0.19916115803433226,0.0025903140755816345,-0.002964059392201235,R1_up_calm
2016-07-20,217.085,210.29928285714283,0.19928922765237406,-0.0026026671580255956,-0.004168873943386275,R1_up_calm
2016-07-21,216.265,210.46499722222222,0.19995930790108374,0.00233509814348154,0.0006690865373499832,R1_up_calm
2016-07-22,217.24,210.64810540540537,0.19599835546719574,-0.0005523844595839433,0.004327011600073538,R1_up_calm
2016-07-25,216.65,210.80604999999997,0.1345070110812834,0.0013385645049619477,0.00646203554119551,R1_up_calm
2016-07-26,216.75,210.95845897435896,0.11075396046796063,-0.005540023068050681,0.006597462514417618,R1_up_calm
2016-07-27,216.52,211.0974975,0.09938073719951494,-0.001570293737299111,0.005172732311102823,R1_up_calm
